Package,File,Line,ClassName,ClassCC,HighestCC,metric
jsat,/src/jsat/DataSet.java,27,120,58,6.465,wmc
jsat,/src/jsat/DataSet.java,27,DataSet,120,12,class_cc
jsat,/src/jsat/DataSet.java,282,getDataPoint(int),getDataPoint,1,npath
jsat,/src/jsat/DataSet.java,295,setDataPoint(int, DataPoint),setDataPoint,1,npath
jsat,/src/jsat/DataSet.java,310,getOnlineColumnStats(boolean),getOnlineColumnStats,28,npath
jsat,/src/jsat/DataSet.java,355,getOnlineDenseStats(),getOnlineDenseStats,2,npath
jsat,/src/jsat/DataSet.java,372,getColumnMeanVariance(),getColumnMeanVariance,1,npath
jsat,/src/jsat/DataSet.java,397,getDataPointIterator(),getDataPointIterator,1,npath
jsat,/src/jsat/DataSet.java,430,size(),size,1,npath
jsat,/src/jsat/DataSet.java,439,isEmpty(),isEmpty,1,npath
jsat,/src/jsat/DataSet.java,449,getSampleSize(),getSampleSize,1,npath
jsat,/src/jsat/DataSet.java,458,getNumCategoricalVars(),getNumCategoricalVars,1,npath
jsat,/src/jsat/DataSet.java,467,getNumNumericalVars(),getNumNumericalVars,1,npath
jsat,/src/jsat/DataSet.java,478,getCategories(),getCategories,1,npath
jsat,/src/jsat/DataSet.java,500,getMissingDropped(),getMissingDropped,7,npath
jsat,/src/jsat/DataSet.java,526,randomSplit(Random, double...),randomSplit,12,npath
jsat,/src/jsat/DataSet.java,566,randomSplit(double...),randomSplit,1,npath
jsat,/src/jsat/DataSet.java,580,cvSet(int, Random),cvSet,1,npath
jsat,/src/jsat/DataSet.java,595,cvSet(int),cvSet,1,npath
jsat,/src/jsat/DataSet.java,60,DataSet(DataStore),DataSet,4,npath
jsat,/src/jsat/DataSet.java,608,getDataPoints(),getDataPoints,2,npath
jsat,/src/jsat/DataSet.java,620,getDataVectors(),getDataVectors,2,npath
jsat,/src/jsat/DataSet.java,638,getNumericColumn(int),getNumericColumn,1,npath
jsat,/src/jsat/DataSet.java,647,countMissingValues(),countMissingValues,8,npath
jsat,/src/jsat/DataSet.java,687,getNumericColumns(),getNumericColumns,1,npath
jsat,/src/jsat/DataSet.java,713,getNumericColumns(Set),getNumericColumns,1,npath
jsat,/src/jsat/DataSet.java,726,getDataMatrix(),getDataMatrix,6,npath
jsat,/src/jsat/DataSet.java,764,getDataMatrixView(),getDataMatrixView,1,npath
jsat,/src/jsat/DataSet.java,773,getNumFeatures(),getNumFeatures,1,npath
jsat,/src/jsat/DataSet.java,79,DataSet(int, CategoricalData),DataSet,1,npath
jsat,/src/jsat/DataSet.java,803,getTwiceShallowClone(),getTwiceShallowClone,2,npath
jsat,/src/jsat/DataSet.java,822,getSparsityStats(),getSparsityStats,1,npath
jsat,/src/jsat/DataSet.java,832,setWeight(int, double),setWeight,12,method_cc
jsat,/src/jsat/DataSet.java,832,setWeight(int, double),setWeight,72,npath
jsat,/src/jsat/DataSet.java,860,getWeight(int),getWeight,9,npath
jsat,/src/jsat/DataSet.java,880,getDataWeights(),getDataWeights,20,npath
jsat,/src/jsat/DataStore.java,139,getNumericColumn(int),getNumericColumn,3,npath
jsat,/src/jsat/DataStore.java,168,toList(),toList,2,npath
jsat,/src/jsat/DataStore.java,182,rowMajor(),rowMajor,1,npath
jsat,/src/jsat/DataStore.java,72,addDataPointCheck(DataPoint),addDataPointCheck,12,npath
jsat,/src/jsat/RowMajorStore.java,101,getDataPoint(int),getDataPoint,1,npath
jsat,/src/jsat/RowMajorStore.java,107,setDataPoint(int, DataPoint),setDataPoint,1,npath
jsat,/src/jsat/RowMajorStore.java,113,finishAdding(),finishAdding,10,npath
jsat,/src/jsat/RowMajorStore.java,144,size(),size,1,npath
jsat,/src/jsat/RowMajorStore.java,150,getNumericColumns(Set),getNumericColumns,16,npath
jsat,/src/jsat/RowMajorStore.java,177,setCategoricalDataInfo(CategoricalData),setCategoricalDataInfo,1,npath
jsat,/src/jsat/RowMajorStore.java,184,numNumeric(),numNumeric,1,npath
jsat,/src/jsat/RowMajorStore.java,190,setNumNumeric(int),setNumNumeric,2,npath
jsat,/src/jsat/RowMajorStore.java,198,numCategorical(),numCategorical,1,npath
jsat,/src/jsat/RowMajorStore.java,204,getSparsityStats(),getSparsityStats,3,npath
jsat,/src/jsat/RowMajorStore.java,220,clone(),clone,1,npath
jsat,/src/jsat/RowMajorStore.java,226,emptyClone(),emptyClone,1,npath
jsat,/src/jsat/RowMajorStore.java,232,getCatColumn(int),getCatColumn,6,npath
jsat,/src/jsat/RowMajorStore.java,47,RowMajorStore(),RowMajorStore,1,npath
jsat,/src/jsat/RowMajorStore.java,57,RowMajorStore(int, CategoricalData),RowMajorStore,2,npath
jsat,/src/jsat/RowMajorStore.java,65,RowMajorStore(List),RowMajorStore,2,npath
jsat,/src/jsat/RowMajorStore.java,76,RowMajorStore(RowMajorStore),RowMajorStore,2,npath
jsat,/src/jsat/RowMajorStore.java,86,addDataPoint(DataPoint),addDataPoint,1,npath
jsat,/src/jsat/RowMajorStore.java,94,getCategoricalDataInfo(),getCategoricalDataInfo,1,npath
jsat,/src/jsat/SimpleDataSet.java,109,asRegressionDataSet(int),asRegressionDataSet,8,npath
jsat,/src/jsat/SimpleDataSet.java,129,getList(),getList,1,npath
jsat,/src/jsat/SimpleDataSet.java,134,shallowClone(),shallowClone,1,npath
jsat,/src/jsat/SimpleDataSet.java,140,emptyClone(),emptyClone,1,npath
jsat,/src/jsat/SimpleDataSet.java,147,getTwiceShallowClone(),getTwiceShallowClone,1,npath
jsat,/src/jsat/SimpleDataSet.java,28,SimpleDataSet(List),SimpleDataSet,2,npath
jsat,/src/jsat/SimpleDataSet.java,42,SimpleDataSet(DataStore),SimpleDataSet,1,npath
jsat,/src/jsat/SimpleDataSet.java,55,SimpleDataSet(int, CategoricalData),SimpleDataSet,1,npath
jsat,/src/jsat/SimpleDataSet.java,64,add(DataPoint),add,1,npath
jsat,/src/jsat/SimpleDataSet.java,70,getSubset(List),getSubset,2,npath
jsat,/src/jsat/SimpleDataSet.java,88,asClassificationDataSet(int),asClassificationDataSet,4,npath
jsat,/test/jsat/FixedProblems.java,108,getSimpleKClassLinear(int, int, Random),getSimpleKClassLinear,3,npath
jsat,/test/jsat/FixedProblems.java,129,getLinearRegression(int, Random),getLinearRegression,1,npath
jsat,/test/jsat/FixedProblems.java,140,get2DLinearRegression(int, Random),get2DLinearRegression,1,npath
jsat,/test/jsat/FixedProblems.java,153,getLinearRegression(int, Random, Vec),getLinearRegression,3,npath
jsat,/test/jsat/FixedProblems.java,177,getSimpleRegression1(int, Random),getSimpleRegression1,2,npath
jsat,/test/jsat/FixedProblems.java,197,getInnerOuterCircle(int, Random),getInnerOuterCircle,1,npath
jsat,/test/jsat/FixedProblems.java,202,getInnerOuterCircle(int, Random, double, double),getInnerOuterCircle,1,npath
jsat,/test/jsat/FixedProblems.java,206,getCircles(int, double...),getCircles,1,npath
jsat,/test/jsat/FixedProblems.java,211,getCircles(int, Random, double...),getCircles,1,npath
jsat,/test/jsat/FixedProblems.java,216,getCircles(int, double, Random, double...),getCircles,3,npath
jsat,/test/jsat/FixedProblems.java,234,getHalfCircles(int, Random, double...),getHalfCircles,3,npath
jsat,/test/jsat/FixedProblems.java,35,get2ClassLinear(int, Random),get2ClassLinear,4,npath
jsat,/test/jsat/FixedProblems.java,57,get2ClassLinear2D(int, int, double, Random),get2ClassLinear2D,4,npath
jsat,/test/jsat/FixedProblems.java,79,get2ClassLinear(int, int, Random),get2ClassLinear,4,npath
jsat,/test/jsat/FixedProblems.java,97,getSimpleKClassLinear(int, int),getSimpleKClassLinear,1,npath
jsat,/test/jsat/NormalClampedSample.java,18,NormalClampedSample(double, double),NormalClampedSample,1,npath
jsat,/test/jsat/NormalClampedSample.java,23,NormalClampedSample(double, double, double, double),NormalClampedSample,1,npath
jsat,/test/jsat/NormalClampedSample.java,31,invCdf(double),invCdf,1,npath
jsat,/test/jsat/NormalClampedSample.java,37,sample(int, Random),sample,2,npath
jsat,/test/jsat/NormalClampedSample.java,46,sampleVec(int, Random),sampleVec,2,npath
jsat,/test/jsat/TestTools.java,102,regressEvalLinear(Regressor),regressEvalLinear,1,npath
jsat,/test/jsat/TestTools.java,114,regressEvalLinear(Regressor, int, int),regressEvalLinear,1,npath
jsat,/test/jsat/TestTools.java,129,regressEvalLinear(Regressor, ExecutorService),regressEvalLinear,1,npath
jsat,/test/jsat/TestTools.java,142,regressEvalLinear(Regressor, boolean, int, int),regressEvalLinear,1,npath
jsat,/test/jsat/TestTools.java,39,assertEqualsRelDiff(double, double, double),assertEqualsRelDiff,2,npath
jsat,/test/jsat/TestTools.java,55,deepCopy(O),deepCopy,2,npath
jsat,/test/jsat/TestTools.java,82,checkClusteringByCat(List),checkClusteringByCat,7,npath
jsat.classifiers,/src/jsat/classifiers/BaseUpdateableClassifier.java,28,BaseUpdateableClassifier(),BaseUpdateableClassifier,1,npath
jsat.classifiers,/src/jsat/classifiers/BaseUpdateableClassifier.java,36,BaseUpdateableClassifier(BaseUpdateableClassifier),BaseUpdateableClassifier,1,npath
jsat.classifiers,/src/jsat/classifiers/BaseUpdateableClassifier.java,46,setEpochs(int),setEpochs,2,npath
jsat.classifiers,/src/jsat/classifiers/BaseUpdateableClassifier.java,57,getEpochs(),getEpochs,1,npath
jsat.classifiers,/src/jsat/classifiers/BaseUpdateableClassifier.java,63,train(ClassificationDataSet, boolean),train,1,npath
jsat.classifiers,/src/jsat/classifiers/BaseUpdateableClassifier.java,69,train(ClassificationDataSet),train,1,npath
jsat.classifiers,/src/jsat/classifiers/BaseUpdateableClassifier.java,82,trainEpochs(ClassificationDataSet, UpdateableClassifier, int),trainEpochs,6,npath
jsat.classifiers,/src/jsat/classifiers/CategoricalData.java,107,copyOf(CategoricalData),copyOf,2,npath
jsat.classifiers,/src/jsat/classifiers/CategoricalData.java,24,CategoricalData(int),CategoricalData,2,npath
jsat.classifiers,/src/jsat/classifiers/CategoricalData.java,37,getNumOfCategories(),getNumOfCategories,1,npath
jsat.classifiers,/src/jsat/classifiers/CategoricalData.java,47,isValidCategory(int),isValidCategory,3,npath
jsat.classifiers,/src/jsat/classifiers/CategoricalData.java,55,getOptionName(int),getOptionName,3,npath
jsat.classifiers,/src/jsat/classifiers/CategoricalData.java,65,getCategoryName(),getCategoryName,1,npath
jsat.classifiers,/src/jsat/classifiers/CategoricalData.java,70,setCategoryName(String),setCategoryName,1,npath
jsat.classifiers,/src/jsat/classifiers/CategoricalData.java,86,setOptionName(String, int),setOptionName,4,npath
jsat.classifiers,/src/jsat/classifiers/CategoricalData.java,97,clone(),clone,2,npath
jsat.classifiers,/src/jsat/classifiers/CategoricalResults.java,101,divideConst(double),divideConst,2,npath
jsat.classifiers,/src/jsat/classifiers/CategoricalResults.java,111,normalize(),normalize,4,npath
jsat.classifiers,/src/jsat/classifiers/CategoricalResults.java,120,getVecView(),getVecView,1,npath
jsat.classifiers,/src/jsat/classifiers/CategoricalResults.java,130,getProb(int),getProb,1,npath
jsat.classifiers,/src/jsat/classifiers/CategoricalResults.java,140,clone(),clone,1,npath
jsat.classifiers,/src/jsat/classifiers/CategoricalResults.java,148,toString(),toString,1,npath
jsat.classifiers,/src/jsat/classifiers/CategoricalResults.java,22,CategoricalResults(int),CategoricalResults,1,npath
jsat.classifiers,/src/jsat/classifiers/CategoricalResults.java,34,CategoricalResults(double),CategoricalResults,1,npath
jsat.classifiers,/src/jsat/classifiers/CategoricalResults.java,44,size(),size,1,npath
jsat.classifiers,/src/jsat/classifiers/CategoricalResults.java,56,setProb(int, double),setProb,5,npath
jsat.classifiers,/src/jsat/classifiers/CategoricalResults.java,72,incProb(int, double),incProb,5,npath
jsat.classifiers,/src/jsat/classifiers/CategoricalResults.java,85,mostLikely(),mostLikely,3,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationDataSet.java,100,ClassificationDataSet(DataStore, List),ClassificationDataSet,1,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationDataSet.java,115,ClassificationDataSet(DataStore, List, CategoricalData),ClassificationDataSet,1,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationDataSet.java,129,ClassificationDataSet(List, CategoricalData),ClassificationDataSet,2,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationDataSet.java,149,ClassificationDataSet(int, CategoricalData, CategoricalData),ClassificationDataSet,1,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationDataSet.java,162,getClassSize(),getClassSize,1,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationDataSet.java,175,comineAllBut(List, int),comineAllBut,5,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationDataSet.java,20,81,46,19.333,wmc
jsat.classifiers,/src/jsat/classifiers/ClassificationDataSet.java,20,ClassificationDataSet,81,9,class_cc
jsat.classifiers,/src/jsat/classifiers/ClassificationDataSet.java,202,getDataPoint(int),getDataPoint,1,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationDataSet.java,212,getDataPointPair(int),getDataPointPair,2,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationDataSet.java,221,setDataPoint(int, DataPoint),setDataPoint,2,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationDataSet.java,234,getDataPointCategory(int),getDataPointCategory,3,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationDataSet.java,245,getSubset(List),getSubset,2,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationDataSet.java,254,stratSet(int, Random),stratSet,6,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationDataSet.java,291,addDataPoint(Vec, int, int),addDataPoint,1,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationDataSet.java,305,addDataPoint(Vec, int),addDataPoint,1,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationDataSet.java,318,addDataPoint(Vec, int, double),addDataPoint,1,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationDataSet.java,331,addDataPoint(Vec, int, int, double),addDataPoint,16,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationDataSet.java,352,addDataPoint(DataPoint, int),addDataPoint,1,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationDataSet.java,363,addDataPoint(DataPoint, int, double),addDataPoint,16,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationDataSet.java,37,ClassificationDataSet(DataSet, int),ClassificationDataSet,4,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationDataSet.java,387,getSamples(int),getSamples,3,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationDataSet.java,405,getSampleVariableVector(int, int),getSampleVariableVector,2,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationDataSet.java,420,getPredicting(),getPredicting,1,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationDataSet.java,435,getAsDPPList(),getAsDPPList,2,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationDataSet.java,454,getAsFloatDPPList(),getAsFloatDPPList,2,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationDataSet.java,467,getPriors(),getPriors,4,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationDataSet.java,492,classSampleCount(int),classSampleCount,3,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationDataSet.java,502,size(),size,1,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationDataSet.java,508,shallowClone(),shallowClone,4,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationDataSet.java,52,ClassificationDataSet(List, int),ClassificationDataSet,12,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationDataSet.java,520,emptyClone(),emptyClone,1,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationDataSet.java,527,getTwiceShallowClone(),getTwiceShallowClone,1,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationModelEvaluation.java,104,setKeepModels(boolean),setKeepModels,1,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationModelEvaluation.java,115,isKeepModels(),isKeepModels,1,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationModelEvaluation.java,128,getKeptModels(),getKeptModels,1,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationModelEvaluation.java,140,setWarmModels(Classifier...),setWarmModels,1,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationModelEvaluation.java,150,setDataTransformProcess(DataTransformProcess),setDataTransformProcess,1,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationModelEvaluation.java,161,evaluateCrossValidation(int),evaluateCrossValidation,1,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationModelEvaluation.java,173,evaluateCrossValidation(int, Random),evaluateCrossValidation,2,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationModelEvaluation.java,196,evaluateCrossValidation(List),evaluateCrossValidation,2,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationModelEvaluation.java,229,evaluateCrossValidation(List, List),evaluateCrossValidation,6,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationModelEvaluation.java,25,53,46,16.256,wmc
jsat.classifiers,/src/jsat/classifiers/ClassificationModelEvaluation.java,261,evaluateTestSet(ClassificationDataSet),evaluateTestSet,2,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationModelEvaluation.java,273,evaluationWork(ClassificationDataSet, ClassificationDataSet, int),evaluationWork,1728,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationModelEvaluation.java,383,addScorer(ClassificationScore),addScorer,1,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationModelEvaluation.java,399,getScoreStats(ClassificationScore),getScoreStats,1,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationModelEvaluation.java,410,keepPredictions(boolean),keepPredictions,1,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationModelEvaluation.java,419,doseStoreResults(),doseStoreResults,1,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationModelEvaluation.java,432,getPredictions(),getPredictions,1,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationModelEvaluation.java,445,getTruths(),getTruths,1,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationModelEvaluation.java,456,getPointWeights(),getPointWeights,1,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationModelEvaluation.java,461,getConfusionMatrix(),getConfusionMatrix,1,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationModelEvaluation.java,469,prettyPrintConfusionMatrix(),prettyPrintConfusionMatrix,12,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationModelEvaluation.java,499,prettyPrintClassificationScores(),prettyPrintClassificationScores,6,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationModelEvaluation.java,519,getCorrectWeights(),getCorrectWeights,2,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationModelEvaluation.java,531,getSumOfWeights(),getSumOfWeights,1,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationModelEvaluation.java,542,getErrorRate(),getErrorRate,1,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationModelEvaluation.java,554,getErrorRateStats(),getErrorRateStats,1,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationModelEvaluation.java,563,getTotalTrainingTime(),getTotalTrainingTime,1,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationModelEvaluation.java,572,getTotalClassificationTime(),getTotalClassificationTime,1,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationModelEvaluation.java,581,getClassifier(),getClassifier,1,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationModelEvaluation.java,586,setUpResults(int),setUpResults,2,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationModelEvaluation.java,71,ClassificationModelEvaluation(Classifier, ClassificationDataSet),ClassificationModelEvaluation,1,npath
jsat.classifiers,/src/jsat/classifiers/ClassificationModelEvaluation.java,85,ClassificationModelEvaluation(Classifier, ClassificationDataSet, boolean),ClassificationModelEvaluation,1,npath
jsat.classifiers,/src/jsat/classifiers/Classifier.java,45,train(ClassificationDataSet),train,1,npath
jsat.classifiers,/src/jsat/classifiers/DDAG.java,27,DDAG(Classifier, boolean),DDAG,1,npath
jsat.classifiers,/src/jsat/classifiers/DDAG.java,36,DDAG(Classifier),DDAG,1,npath
jsat.classifiers,/src/jsat/classifiers/DDAG.java,42,classify(DataPoint),classify,6,npath
jsat.classifiers,/src/jsat/classifiers/DDAG.java,75,clone(),clone,8,npath
jsat.classifiers,/src/jsat/classifiers/DataPoint.java,103,numCategoricalValues(),numCategoricalValues,1,npath
jsat.classifiers,/src/jsat/classifiers/DataPoint.java,114,getCategoricalValue(int),getCategoricalValue,1,npath
jsat.classifiers,/src/jsat/classifiers/DataPoint.java,123,getCategoricalData(),getCategoricalData,1,npath
jsat.classifiers,/src/jsat/classifiers/DataPoint.java,129,toString(),toString,6,npath
jsat.classifiers,/src/jsat/classifiers/DataPoint.java,156,clone(),clone,1,npath
jsat.classifiers,/src/jsat/classifiers/DataPoint.java,32,DataPoint(Vec, int, CategoricalData),DataPoint,1,npath
jsat.classifiers,/src/jsat/classifiers/DataPoint.java,44,DataPoint(Vec),DataPoint,1,npath
jsat.classifiers,/src/jsat/classifiers/DataPoint.java,53,containsCategoricalData(),containsCategoricalData,1,npath
jsat.classifiers,/src/jsat/classifiers/DataPoint.java,64,getNumericalValues(),getNumericalValues,1,npath
jsat.classifiers,/src/jsat/classifiers/DataPoint.java,73,containsNumericalData(),containsNumericalData,1,npath
jsat.classifiers,/src/jsat/classifiers/DataPoint.java,82,numNumericalValues(),numNumericalValues,2,npath
jsat.classifiers,/src/jsat/classifiers/DataPoint.java,94,getCategoricalValues(),getCategoricalValues,1,npath
jsat.classifiers,/src/jsat/classifiers/DataPointPair.java,12,DataPointPair,16.667,0,4,6,woc
jsat.classifiers,/src/jsat/classifiers/DataPointPair.java,19,DataPointPair(DataPoint, P),DataPointPair,1,npath
jsat.classifiers,/src/jsat/classifiers/DataPointPair.java,25,setDataPoint(DataPoint),setDataPoint,1,npath
jsat.classifiers,/src/jsat/classifiers/DataPointPair.java,30,setPair(P),setPair,1,npath
jsat.classifiers,/src/jsat/classifiers/DataPointPair.java,35,getDataPoint(),getDataPoint,1,npath
jsat.classifiers,/src/jsat/classifiers/DataPointPair.java,40,getPair(),getPair,1,npath
jsat.classifiers,/src/jsat/classifiers/DataPointPair.java,49,getVector(),getVector,1,npath
jsat.classifiers,/src/jsat/classifiers/MajorityVote.java,28,MajorityVote(Classifier...),MajorityVote,1,npath
jsat.classifiers,/src/jsat/classifiers/MajorityVote.java,41,MajorityVote(List),MajorityVote,1,npath
jsat.classifiers,/src/jsat/classifiers/MajorityVote.java,47,classify(DataPoint),classify,7,npath
jsat.classifiers,/src/jsat/classifiers/MajorityVote.java,75,train(ClassificationDataSet, boolean),train,2,npath
jsat.classifiers,/src/jsat/classifiers/MajorityVote.java,82,train(ClassificationDataSet),train,2,npath
jsat.classifiers,/src/jsat/classifiers/MajorityVote.java,89,supportsWeightedData(),supportsWeightedData,1,npath
jsat.classifiers,/src/jsat/classifiers/MajorityVote.java,95,clone(),clone,3,npath
jsat.classifiers,/src/jsat/classifiers/OneVSAll.java,118,train(ClassificationDataSet, boolean),train,32,npath
jsat.classifiers,/src/jsat/classifiers/OneVSAll.java,157,clone(),clone,8,npath
jsat.classifiers,/src/jsat/classifiers/OneVSAll.java,173,supportsWeightedData(),supportsWeightedData,1,npath
jsat.classifiers,/src/jsat/classifiers/OneVSAll.java,41,OneVSAll(Classifier),OneVSAll,1,npath
jsat.classifiers,/src/jsat/classifiers/OneVSAll.java,55,OneVSAll(Classifier, boolean),OneVSAll,1,npath
jsat.classifiers,/src/jsat/classifiers/OneVSAll.java,73,setConcurrentTraining(boolean),setConcurrentTraining,1,npath
jsat.classifiers,/src/jsat/classifiers/OneVSAll.java,80,classify(DataPoint),classify,7,npath
jsat.classifiers,/src/jsat/classifiers/OneVSOne.java,111,train(ClassificationDataSet, boolean),train,10,method_cc
jsat.classifiers,/src/jsat/classifiers/OneVSOne.java,111,train(ClassificationDataSet, boolean),train,120,npath
jsat.classifiers,/src/jsat/classifiers/OneVSOne.java,174,supportsWeightedData(),supportsWeightedData,1,npath
jsat.classifiers,/src/jsat/classifiers/OneVSOne.java,180,clone(),clone,8,npath
jsat.classifiers,/src/jsat/classifiers/OneVSOne.java,49,OneVSOne(Classifier),OneVSOne,1,npath
